accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
п'ятниця;Франківський;Київська;зіткнення лобове;порушення правил маневрування;3;49.833395;24.008281;1;0;1;1;0;2018;5;4;15;Львів;Зіткнення автомобілів;Порушення маневрування
вівторок;Личаківський;Богданівська;зіткнення з задньою частиною тз;перевищення безпечної швидкості;5;49.843677;24.085636;3;0;2;0;0;2018;4;1;11;Львів;Зіткнення автомобілів;Перевищення швидкості
четвер;Галицький;Свободи, просп.;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості;2;49.840802;24.028645;1;0;1;0;0;2018;4;3;14;Львів;Наїзд на пішохода;Перевищення швидкості
понеділок;Сихівський;Угорська;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;перевищення безпечної швидкості , керування транспортним засобом у нетверезому стані;2;49.809573;24.046422;1;0;1;0;0;2018;5;0;19;Львів;Наїзд на велосипедиста;Перевищення швидкості
понеділок;Франківський;Володимира Великого;зіткнення бокове;перевищення безпечної швидкості , недодержання дистанції;3;49.810386;24.000342;2;0;1;0;1;2018;5;0;14;Львів;Зіткнення автомобілів;Перевищення швидкості
понеділок;Галицький;Хлібна;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.827479;24.041313;1;0;1;0;0;2018;5;0;14;Львів;Наїзд на пішохода;Порушення маневрування
субота;Сихівський;Хуторівка;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.799709;24.026563;1;0;1;0;0;2018;5;5;8;Львів;Наїзд на пішохода;Порушення маневрування
субота;Залізничний;Городоцька;зіткнення бокове;порушення правил маневрування;2;49.839913;24.011371;1;0;1;0;0;2018;5;5;3;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Личаківський;Ковельська;наїзд на пішохода - стояв на проїздній частині;порушення правил зупинки і стоянки транспортного засобу;1;49.858834;24.059007;0;0;1;0;0;2018;5;3;17;Львів;Наїзд на пішохода;Інше
неділя;Личаківський;Руставелі Ш.;зіткнення бокове;порушення правил маневрування;3;49.834875;24.034857;2;0;1;0;0;2018;4;6;13;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Галицький;Чорновола В., просп.;наїзд на пішохода - на регульованому пішохідному переході;перевищення безпечної швидкості;2;49.850467;24.024487;1;1;0;0;1;2018;4;3;18;Львів;Наїзд на пішохода;Перевищення швидкості
середа;Шевченківський;Миколайчука І.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.870953;24.042597;1;0;1;0;0;2018;5;2;19;Львів;Наїзд на пішохода;Порушення маневрування
